pair_index,field_1,field_2,avg_weight,std_weight
0,uuid,platform,0.010532323,0.023706354
1,uuid,geo_location,0.0037974075,0.009746955
2,uuid,ad_id,0.0070746033,0.023887908
3,uuid,document_id_y,0.0071084867,0.022902397
4,uuid,campaign_id,0.00742489,0.025998678
5,uuid,advertiser_id,0.0066685625,0.022877444
6,uuid,country,0.00049066916,0.0051354864
7,uuid,state,0.0028594818,0.0059929867
8,uuid,hour,5.7885623e-05,0.00076619897
9,uuid,day_of_week,6.132238e-05,0.0022368138
10,uuid,timestamp,0.0024108752,0.0051982137
11,uuid,ad_id_freq,0.011707995,0.014406375
12,uuid,campaign_id_freq,0.0020904825,0.0014922601
13,uuid,advertiser_id_freq,0.00016593658,0.00020168912
14,uuid,ad_id_te,0.12068114,0.0959571
15,uuid,campaign_id_te,0.02627374,0.04476983
16,platform,geo_location,0.0032215782,0.012384124
17,platform,ad_id,0.008516095,0.026935557
18,platform,document_id_y,0.008572283,0.029895985
19,platform,campaign_id,0.009341246,0.030162515
20,platform,advertiser_id,0.008084717,0.026788209
21,platform,country,0.0024569388,0.013753223
22,platform,state,0.0021338616,0.00742054
23,platform,hour,0.00020696077,0.00024037644
24,platform,day_of_week,0.00041132903,0.00039470088
25,platform,timestamp,0.0059434986,0.012683955
26,platform,ad_id_freq,0.010245308,0.014479382
27,platform,campaign_id_freq,0.00096266833,0.0010499847
28,platform,advertiser_id_freq,0.0036398622,0.010800882
29,platform,ad_id_te,0.022074645,0.033758286
30,platform,campaign_id_te,0.00421636,0.012221391
31,geo_location,ad_id,0.008351322,0.026221568
32,geo_location,document_id_y,0.009356247,0.029194038
33,geo_location,campaign_id,0.00910263,0.028446466
34,geo_location,advertiser_id,0.008802906,0.027668122
35,geo_location,country,0.0019312433,0.008765056
36,geo_location,state,0.0018791216,0.009429423
37,geo_location,hour,0.0021928567,0.0077749128
38,geo_location,day_of_week,0.003903006,0.013544068
39,geo_location,timestamp,0.0039004672,0.01553532
40,geo_location,ad_id_freq,0.0034141762,0.0106398305
41,geo_location,campaign_id_freq,0.0028721902,0.008718737
42,geo_location,advertiser_id_freq,0.0021633843,0.006250299
43,geo_location,ad_id_te,0.004133447,0.011018654
44,geo_location,campaign_id_te,0.0039180415,0.011081596
45,ad_id,document_id_y,0.008534715,0.029730486
46,ad_id,campaign_id,0.010942692,0.036454532
47,ad_id,advertiser_id,0.012690139,0.041405294
48,ad_id,country,0.0068662637,0.026000354
49,ad_id,state,0.008807231,0.02808778
50,ad_id,hour,0.0045697447,0.017449198
51,ad_id,day_of_week,0.008596937,0.027990205
52,ad_id,timestamp,0.013812819,0.040401127
53,ad_id,ad_id_freq,0.0035391324,0.01454684
54,ad_id,campaign_id_freq,0.0035918315,0.013646312
55,ad_id,advertiser_id_freq,0.00344972,0.012012299
56,ad_id,ad_id_te,0.00515082,0.018116755
57,ad_id,campaign_id_te,0.006273493,0.024280317
58,document_id_y,campaign_id,0.008195526,0.029398493
59,document_id_y,advertiser_id,0.0079877665,0.026994832
60,document_id_y,country,0.0064736954,0.024278726
61,document_id_y,state,0.009373011,0.028512195
62,document_id_y,hour,0.00563464,0.020081382
63,document_id_y,day_of_week,0.009155231,0.030738449
64,document_id_y,timestamp,0.015105613,0.043720465
65,document_id_y,ad_id_freq,0.0050581847,0.021889945
66,document_id_y,campaign_id_freq,0.0038217853,0.014872955
67,document_id_y,advertiser_id_freq,0.0040986477,0.013154618
68,document_id_y,ad_id_te,0.0062023983,0.021599136
69,document_id_y,campaign_id_te,0.0049363417,0.016686954
70,campaign_id,advertiser_id,0.0077432645,0.025829917
71,campaign_id,country,0.005956604,0.02411447
72,campaign_id,state,0.008242312,0.026246792
73,campaign_id,hour,0.01207087,0.041071057
74,campaign_id,day_of_week,0.009437729,0.029333537
75,campaign_id,timestamp,0.011750569,0.037690904
76,campaign_id,ad_id_freq,0.010981422,0.044596232
77,campaign_id,campaign_id_freq,0.003887846,0.01754613
78,campaign_id,advertiser_id_freq,0.0042234897,0.014816352
79,campaign_id,ad_id_te,0.006749475,0.021708447
80,campaign_id,campaign_id_te,0.006125773,0.020589788
81,advertiser_id,country,0.005450923,0.021590523
82,advertiser_id,state,0.008420914,0.027325584
83,advertiser_id,hour,0.0055423854,0.023308782
84,advertiser_id,day_of_week,0.009355018,0.02596619
85,advertiser_id,timestamp,0.017370947,0.04795885
86,advertiser_id,ad_id_freq,0.005727376,0.01893114
87,advertiser_id,campaign_id_freq,0.004730423,0.019694086
88,advertiser_id,advertiser_id_freq,0.0046121073,0.016587883
89,advertiser_id,ad_id_te,0.0068932893,0.024203897
90,advertiser_id,campaign_id_te,0.008376293,0.026951049
91,country,state,0.0014973966,0.007936599
92,country,hour,0.000252386,0.0025636323
93,country,day_of_week,0.00052542955,0.003597872
94,country,timestamp,0.0017038536,0.0015666682
95,country,ad_id_freq,0.0011380676,0.009062036
96,country,campaign_id_freq,0.0008039527,0.003023506
